time_hours,CommunityReplicate,SangerID,Genus,type,Family,ChromoType,mean.glu,abs.mean,pH.orig,aceConc_nmol_uL,succConc_nmol_uL,lacConc_nmol_uL
16,C11R1,338,Enterobacter,mono,Enterobacteriacea,B,0,0.192,6.021600937,6.386966199,0.564395638,0.554857789
16,C11R1,340,Raoultella,mono,Enterobacteriacea,B,0,0.181,5.818615102,7.567683276,0.300517257,2.905031297
16,C11R1,342,Delftia,mono,Comamonadaceae,W,0.07703643,0.034,6.933952033,0,0.027842931,0
16,C11R1,452,Achromobacter,mono,Alcaligenaceae,W,0.071109659,0.034666667,6.896338991,0.174334065,0.028556116,0
16,C11R1,461,Raoultella,mono,Enterobacteriacea,B,0,0.179333333,5.782564725,7.551834724,0.298377703,3.000696433
16,C11R2,280,Enterobacter,mono,Enterobacteriacea,B,0,0.186666667,5.982650465,7.805411546,0.59839078,0.765321088
16,C11R2,343,Aeromonas,mono,Aeromonadaceae,B,0.002735919,0.333666667,5.872204748,9.239705444,0.735322264,3.526854682
16,C11R2,344,Enterobacter,mono,Enterobacteriacea,B,0.01733697,0.159666667,5.231674825,9.176311239,0.412487273,3.986047334
16,C11R2,345,Raoultella,mono,Enterobacteriacea,B,0,0.193,5.836401587,7.623153205,0.328093737,3.584253763
16,C11R2,346,Escherichia/Shigella,mono,Enterobacteriacea,B,0.022596489,0.163666667,5.05669664,7.789562995,0.497831722,3.115494597
16,C11R2,348,Raoultella,mono,Enterobacteriacea,B,0.021929237,0.153666667,5.343925702,10.00043591,0.414389099,4.005180362
16,C11R2,350,Pseudomonas,mono,Pseudomonadaceae,W,0.075387924,0.034,6.972338269,0,0.028318388,0
16,C11R2,453,Acinetobacter,mono,Moraxellaceae,W,0.070717158,0.038,6.857808019,0,0.040680258,0
16,C11R2,454,Acinetobacter,mono,Moraxellaceae,W,0.076094427,0.038,6.667428005,0.087167032,0.034737051,0
16,C11R2,458,Serratia,mono,Enterobacteriacea,B,0.055409604,0.160333333,5.952181248,7.337879281,0.715115361,2.484104699
16,C11R2,460,Enterobacter,mono,Enterobacteriacea,B,0.029504513,0.143666667,5.312392737,8.946507244,0.385623978,3.485399789
16,C11R5,352,Pseudomonas,mono,Pseudomonadaceae,W,0.0399843,0.133333333,6.409767322,0.118864135,0.040680258,0.019133027
